,code,name,industry,area,net_profits,profits_yoy,pe,totals,esp,timeToMarket,Frist_price,Frist_high_day,Frist_high_price,low_bet_fh_h_day,low_price_bet_fh_h_price,high_day,high/low_price,high/FH,ma20/FH
106,002860,星帅尔,电气设备,浙江,6632.06,8.04,36.05,0.76,0.94,20170412,26.15,11,1.20076481836,105 days 00:00:00.000000000,-0.317115551694,95 days 00:00:00.000000000,0.50534351145,0.0279756733275,-0.278384013901
107,603797,联泰环保,环境保护,广东,4463.08,3.87,70.73,2.13,0.24,20170413,7.15,15,3.26573426573,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.31937704918
108,300638,广和通,通信设备,深圳,2512.76,31.05,93.82,0.8,0.34,20170413,12.54,13,2.4696969697,77 days 00:00:00.000000000,-0.351873132613,83 days 00:00:00.000000000,0.779432624113,0.153298092393,-0.00606757067341
109,603826,坤彩科技,染料涂料,福建,8820.18,11.95,48.09,3.6,0.28,20170414,9.78,8,0.794478527607,1 days 00:00:00.000000000,-0.0210826210826,21 days 00:00:00.000000000,0.487776484284,0.45641025641,-0.142962962963
110,300640,德艺文创,文教休闲,福建,2936.76,11.11,51.91,0.8,0.367,20170417,11.29,13,2.52612931798,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.36679226325
111,300641,正丹股份,化工原料,江苏,9673.74,-9.7,33.02,2.88,0.38,20170418,12.88,7,0.932453416149,1 days 00:00:00.000000000,-0.0397750100442,7 days 00:00:00.000000000,0.134728033473,0.089594214544,-0.411570912013
112,603225,新凤鸣,化纤,浙江,93166.76,179.11,18.97,6.02,1.64,20170418,32.02,4,0.514678326046,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.236391752577
113,002863,今飞凯达,汽车配件,浙江,4010.31,-5.21,69.68,2.22,0.2,20170418,6.58,13,2.50151975684,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.413715277778
114,603081,大丰实业,专用机械,浙江,15826.96,20.4,49.2,4.02,0.42,20170420,15.0,9,0.913333333333,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.0480836236934
115,300554,三超新材,矿物制品,江苏,4089.75,55.26,68.88,0.52,0.88,20170421,17.99,13,2.27959977765,85 days 00:00:00.000000000,-0.295254237288,103 days 00:00:00.000000000,1.05651755652,0.449322033898,0.0247627118644
116,300642,透景生命,医疗保健,上海,7737.13,24.64,54.76,0.6,1.45,20170421,47.65,9,1.24554039874,99 days 00:00:00.000000000,-0.302710280374,104 days 00:00:00.000000000,0.468971987669,0.0242990654206,-0.160065420561
117,603232,格尔软件,软件服务,上海,1070.74,251.19,196.55,0.61,0.2,20170421,26.06,11,1.45970836531,3 days 00:00:00.000000000,-0.110608424337,5 days 00:00:00.000000000,0.273811611998,0.132917316693,-0.253322932917
118,300645,正元智慧,软件服务,浙江,190.49,-146.62,1070.13,0.67,0.029,20170421,16.3,11,1.82944785276,77 days 00:00:00.000000000,-0.237207285343,88 days 00:00:00.000000000,1.38629903354,0.82025151778,-0.154943625325
